Ruta,Descripcion,Orden_Parada,Estacion,Latitud,Longitud
8,Guatoque,28,Guatoque - Veraguas A - 3 ó 6,4.603990776024184,-74.09456020377412
8,Terminal,28,Terminal A - 3,4.76874108780456,-74.04343156462427
A52,Flores,1,Portal Sur T7,4.597583567325254,-74.16887167740586
A52,Flores,2,Perdomo B - 3,4.595736308201025,-74.16462235899884
A52,Flores,3,Madelena B - 3,4.596242571394136,-74.15668893405159
A52,Flores,4,Venecia B - 3,4.5955562424768335,-74.14249182195125
A52,Flores,5,Alquería A - 3,4.594271012711683,-74.13439832820795
A52,Flores,6,G. Santander A - 3 ó 6,4.593650550860164,-74.13105334015351
A52,Flores,7,NQS - Calle 30 Sur B - 3,4.594793349231611,-74.11775695578095
A52,Flores,8,Santa Isabel A - 4 ó 6,4.601360113670943,-74.10297405999137
A52,Flores,9,Calle 76 C - 2,4.6635611849281,-74.06118628565883
A52,Flores,10,Flores B - 2 ó 5,4.654921485183835,-74.0630596929937
A60,Calle 76,1,Portal Américas T2 A,4.629142813488206,-74.17272388368598
A60,Calle 76,2,Tv. 86 B - 2 ó 5,4.634202274352688,-74.15224478253808
A60,Calle 76,3,Banderas T6B,4.631240775636527,-74.14599962643136
A60,Calle 76,4,Distrito Grafiti B - 2 ó 5,4.627820710350728,-74.11184752149202
A60,Calle 76,5,Cra. 43 A - 2 ó 5,4.622524659339478,-74.101225682957
A60,Calle 76,6,Ricaurte D - 2 ó 5,4.613029890914125,-74.09051725619697
A60,Calle 76,7,De la Sabana A - 2 ó 5,4.60515919478993,-74.08164992724424
A60,Calle 76,8,Av. 39 A - 4 ó 6-T,4.626055537764591,-74.06881059009032
A60,Calle 76,9,Calle 45 B - 4 ó 6,4.631651277006926,-74.06781507282653
A60,Calle 76,10,Marly A - 3 ó 6-T,4.636030661108291,-74.06703313678013
A60,Calle 76,11,Calle 76 B - 3,4.663041921588023,-74.06123688847443
A60,Calle 76,12,Calle 76 B - 4 ó 6,4.663213737714163,-74.0612005995889
A61,Polo,1,Portal Américas T2 B,4.62919866349058,-74.17269754524642
A61,Polo,2,Biblioteca Tintal B - 2 ó 5.,4.638682478228063,-74.15844107997906
A61,Polo,3,Banderas T6A,4.631236631169111,-74.14585667945973
A61,Polo,4,Marsella B - 2 ó 5,4.6295802216819615,-74.13015461680797
A61,Polo,5,Zona Industrial A - 2,4.6200788548225376,-74.09847926754658
A61,Polo,6,Calle 22 A - 4 ó 6-T,4.609349848479991,-74.07586886206866
A61,Polo,7,Calle 34 B - 4 ó 6-T,4.619899770406062,-74.07043057497123
A61,Polo,8,Calle 57 B - 4 ó 6-T,4.645453899097968,-74.06537102177062
A61,Polo,9,Flores A - 4 ó 6,4.654740587233047,-74.06306894736096
A61,Polo,10,Polo C - 4 ó 6,4.670889307652272,-74.06493718108635
B10,Portal Norte,1,Portal 80 T-2,4.709744266506819,-74.11104483764974
B10,Portal Norte,2,Cra. 90 A - 2 ó 5,4.704617815169032,-74.10453831641144
B10,Portal Norte,3,Av. Cali B - 2 ó 5,4.702296439039023,-74.10011452584821
B10,Portal Norte,4,Granja - Cra. 77 D - 2 ó 5,4.699687113550314,-74.09687220259106
B10,Portal Norte,5,Boyacá B - 2 ó 5,4.693794667762321,-74.08702566537718
B10,Portal Norte,6,Av. 68 A - 2 ó 5,4.685672253413232,-74.08050896435542
B10,Portal Norte,7,Cra. 53 A - 2 ó 5,4.68160916108052,-74.0772922707953
B10,Portal Norte,8,Cra. 47 B - 2 ó 5,4.677851083574491,-74.07351076815522
B10,Portal Norte,9,Calle 85 A - 4 ó 6,4.67124426015592,-74.05979255735767
B10,Portal Norte,10,Calle 100 B - 4 ó 6,4.684013655003264,-74.05767492418602
